"Node ID","Latency","Node Type","Node"
"4","2","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"7","2","NodeEq","=="
"9","3","NodeReinterpret","<{HWRawBits:1}>"
"8","3","NodeAnd","&"
"11","4","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"30","4","NodeReinterpret","<{HWRawBits:1}>"
"29","4","NodeAnd","&"
"32","4","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"5","3","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"12","3","NodeAdd","+"
"34","4","NodeReinterpret","<{HWRawBits:32}>"
"36","4","NodeCat","@"
"38","4","NodeCat","@"
"40","4","NodeCat","@"
"42","4","NodeCat","@"
"33","4","NodeOutput","Output(dram_read)"
"45","0","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"47","0","NodeOutputMappedReg","Scalar output (current_run_cycle_count)"
"50","0","NodeEq","=="
"48","1","NodeFlush","Flush"
