"Node ID","Latency","Node Type","Node"
"5","2","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"9","2","NodeEq","=="
"11","3","NodeReinterpret","<{HWRawBits:1}>"
"10","3","NodeAnd","&"
"13","4","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"41","4","NodeReinterpret","<{HWRawBits:1}>"
"40","4","NodeAnd","&"
"43","4","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"6","2","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"20","2","NodeEq","=="
"25","3","NodeReinterpret","<{HWRawBits:1}>"
"7","2","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"23","2","NodeEq","=="
"26","3","NodeReinterpret","<{HWRawBits:1}>"
"24","3","NodeAnd","&"
"27","4","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"52","4","NodeReinterpret","<{HWRawBits:1}>"
"14","3","NodeAdd","+"
"45","4","NodeReinterpret","<{HWRawBits:32}>"
"47","4","NodeCat","@"
"49","4","NodeCat","@"
"51","4","NodeCat","@"
"53","4","NodeCat","@"
"44","4","NodeOutput","Output(dram_write)"
"58","2","NodePrintf","NodePrintf"
"61","0","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"63","0","NodeOutputMappedReg","Scalar output (current_run_cycle_count)"
"66","0","NodeEq","=="
"64","1","NodeFlush","Flush"
