
Pre-schedule statistics


Total nodes: 174

Node class;Type;Length;Num
NodeAdd;{HWFloat:8, 24};0;32
NodeAnd;{HWRawBits:1};0;7
NodeCast;{HWOffsetFix:32, 0, TWOSCOMPLEMENT};0;3
NodeConstantDouble;HWUntypedConst;0;4
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;1
NodeCounterV1;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeCounterV1;{HWOffsetFix:8, 0, UNSIGNED};0;3
NodeEq;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeGte;{HWOffsetFix:1, 0, UNSIGNED};0;3
NodeInput;{HWFloat:8, 24};0;4
NodeInputMappedReg;{HWFloat:8, 24};0;16
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeInputMappedReg;{HWOffsetFix:32, 0, TWOSCOMPLEMENT};0;5
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeLt;{HWOffsetFix:1, 0, UNSIGNED};0;3
NodeMul;{HWFloat:8, 24};0;17
NodeMux;{HWFloat:8, 24};0;1
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodePO2FPMult;{HWFloat:8, 24};0;1
NodeReinterpret;{HWOffsetFix:1, 0, UNSIGNED};0;7
NodeReinterpret;{HWRawBits:1};0;14
NodeStreamOffset;{HWFloat:8, 24};0;30
NodeSub;{HWFloat:8, 24};0;1
NodeSub;{HWOffsetFix:32, 0, TWOSCOMPLEMENT};0;3

Post-schedule statistics (pass 1)


Total nodes: 174

Node class;Type;Length;Num
NodeAdd;{HWFloat:8, 24};0;32
NodeAnd;{HWRawBits:1};0;7
NodeCast;{HWOffsetFix:32, 0, TWOSCOMPLEMENT};0;3
NodeConstantDouble;HWUntypedConst;0;4
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;1
NodeCounterV1;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeCounterV1;{HWOffsetFix:8, 0, UNSIGNED};0;3
NodeEq;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeGte;{HWOffsetFix:1, 0, UNSIGNED};0;3
NodeInput;{HWFloat:8, 24};0;4
NodeInputMappedReg;{HWFloat:8, 24};0;16
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodeInputMappedReg;{HWOffsetFix:32, 0, TWOSCOMPLEMENT};0;5
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeLt;{HWOffsetFix:1, 0, UNSIGNED};0;3
NodeMul;{HWFloat:8, 24};0;17
NodeMux;{HWFloat:8, 24};0;1
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;6
NodePO2FPMult;{HWFloat:8, 24};0;1
NodeReinterpret;{HWOffsetFix:1, 0, UNSIGNED};0;7
NodeReinterpret;{HWRawBits:1};0;14
NodeStreamOffset;{HWFloat:8, 24};0;30
NodeSub;{HWFloat:8, 24};0;1
NodeSub;{HWOffsetFix:32, 0, TWOSCOMPLEMENT};0;3

Post-schedule statistics (pass 2)


