"Node ID","Latency","Node Type","Node"
"41","81975","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"38","81975","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"35","81975","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"36","81975","NodeCast","{HWOffsetFix:32, 0, TWOSCOMPLEMENT}"
"44","81975","NodeLt","<"
"47","81976","NodeReinterpret","<{HWRawBits:1}>"
"45","81975","NodeGte",">="
"48","81976","NodeReinterpret","<{HWRawBits:1}>"
"46","81976","NodeAnd","&"
"49","81977","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"53","81977","NodeReinterpret","<{HWRawBits:1}>"
"39","81975","NodeCast","{HWOffsetFix:32, 0, TWOSCOMPLEMENT}"
"51","81975","NodeLt","<"
"54","81976","NodeReinterpret","<{HWRawBits:1}>"
"52","81977","NodeAnd","&"
"55","81978","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"58","81978","NodeReinterpret","<{HWRawBits:1}>"
"56","81975","NodeGte",">="
"59","81978","NodeReinterpret","<{HWRawBits:1}>"
"57","81978","NodeAnd","&"
"60","81979","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"64","81979","NodeReinterpret","<{HWRawBits:1}>"
"42","81975","NodeCast","{HWOffsetFix:32, 0, TWOSCOMPLEMENT}"
"62","81975","NodeLt","<"
"65","81979","NodeReinterpret","<{HWRawBits:1}>"
"63","81979","NodeAnd","&"
"66","81980","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"69","81980","NodeReinterpret","<{HWRawBits:1}>"
"67","81975","NodeGte",">="
"70","81976","NodeReinterpret","<{HWRawBits:1}>"
"68","81980","NodeAnd","&"
"71","81981","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"5","4","NodeInput","Input(p)"
"179","81944","NodePO2FPMult","PO2FPMult_N1"
"8","81940","NodeInput","Input(pp)"
"74","81945","NodeSub","-"
"11","81952","NodeInput","Input(source)"
"75","81957","NodeAdd","+"
"2","81956","NodeInput","Input(dvv)"
"76","81773","NodeMul","*"
"77","81760","NodeStreamOffset","stream offset: 1"
"78","81762","NodeStreamOffset","stream offset: -1"
"79","81761","NodeAdd","+"
"80","81773","NodeMul","*"
"81","81781","NodeAdd","+"
"82","81771","NodeStreamOffset","stream offset: 2"
"83","81775","NodeStreamOffset","stream offset: -2"
"84","81773","NodeAdd","+"
"85","81785","NodeMul","*"
"86","81793","NodeAdd","+"
"87","81782","NodeStreamOffset","stream offset: 3"
"88","81788","NodeStreamOffset","stream offset: -3"
"89","81785","NodeAdd","+"
"90","81797","NodeMul","*"
"91","81805","NodeAdd","+"
"92","81793","NodeStreamOffset","stream offset: 4"
"93","81801","NodeStreamOffset","stream offset: -4"
"94","81797","NodeAdd","+"
"95","81809","NodeMul","*"
"96","81817","NodeAdd","+"
"97","81804","NodeStreamOffset","stream offset: 5"
"98","81814","NodeStreamOffset","stream offset: -5"
"99","81809","NodeAdd","+"
"100","81821","NodeMul","*"
"101","81829","NodeAdd","+"
"102","81693","NodeStreamOffset","stream offset: 128"
"103","81949","NodeStreamOffset","stream offset: -128"
"104","81821","NodeAdd","+"
"105","81833","NodeMul","*"
"106","81841","NodeAdd","+"
"107","81577","NodeStreamOffset","stream offset: 256"
"108","82089","NodeStreamOffset","stream offset: -256"
"109","81833","NodeAdd","+"
"110","81845","NodeMul","*"
"111","81853","NodeAdd","+"
"112","81461","NodeStreamOffset","stream offset: 384"
"113","82229","NodeStreamOffset","stream offset: -384"
"114","81845","NodeAdd","+"
"115","81857","NodeMul","*"
"116","81865","NodeAdd","+"
"117","81345","NodeStreamOffset","stream offset: 512"
"118","82369","NodeStreamOffset","stream offset: -512"
"119","81857","NodeAdd","+"
"120","81869","NodeMul","*"
"121","81877","NodeAdd","+"
"122","81229","NodeStreamOffset","stream offset: 640"
"123","82509","NodeStreamOffset","stream offset: -640"
"124","81869","NodeAdd","+"
"125","81881","NodeMul","*"
"126","81889","NodeAdd","+"
"127","65497","NodeStreamOffset","stream offset: 16384"
"128","98265","NodeStreamOffset","stream offset: -16384"
"129","81881","NodeAdd","+"
"130","81893","NodeMul","*"
"131","81901","NodeAdd","+"
"132","49125","NodeStreamOffset","stream offset: 32768"
"133","114661","NodeStreamOffset","stream offset: -32768"
"134","81893","NodeAdd","+"
"135","81905","NodeMul","*"
"136","81913","NodeAdd","+"
"137","32753","NodeStreamOffset","stream offset: 49152"
"138","131057","NodeStreamOffset","stream offset: -49152"
"139","81905","NodeAdd","+"
"140","81917","NodeMul","*"
"141","81925","NodeAdd","+"
"142","16381","NodeStreamOffset","stream offset: 65536"
"143","147453","NodeStreamOffset","stream offset: -65536"
"144","81917","NodeAdd","+"
"145","81929","NodeMul","*"
"146","81937","NodeAdd","+"
"147","9","NodeStreamOffset","stream offset: 81920"
"148","147453","NodeStreamOffset","stream offset: -81920"
"149","81929","NodeAdd","+"
"150","81941","NodeMul","*"
"151","81949","NodeAdd","+"
"152","81961","NodeMul","*"
"153","81969","NodeAdd","+"
"154","81981","NodeMux","MUX"
"162","81982","NodeOutput","Output(pp_out)"
"170","81945","NodeOutput","Output(p_out)"
"173","0","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"175","0","NodeOutputMappedReg","Scalar output (current_run_cycle_count)"
"178","0","NodeEq","=="
"176","1","NodeFlush","Flush"
